Name,PointValue,TickSize,Url
LHX,1,0.01,https://finance.yahoo.com/quote/LHX
LIN,1,0.01,http://finance.yahoo.com/q?s=LIN
LKQ,1,0.01,https://finance.yahoo.com/quote/LKQ/?p=LKQ
LLY,1,0.01,http://finance.yahoo.com/q?s=LLY
LMT,1,0.01,http://finance.yahoo.com/q?s=LMT
LNC,1,0.01,http://finance.yahoo.com/q?s=LNC
LNT,1,0.01,https://finance.yahoo.com/quote/LNT/?p=LNT
LOW,1,0.01,http://finance.yahoo.com/q?s=LOW
LRCX,1,0.01,http://finance.yahoo.com/q?s=lrcx
LUMN,1,0.01,https://finance.yahoo.com/quote/LUMN
LUV,1,0.01,http://finance.yahoo.com/q?s=LUV
LVS,1,0.01,https://finance.yahoo.com/quote/LVS
LW,1,0.01,http://finance.yahoo.com/q?s=LW
LYB,1,0.01,http://finance.yahoo.com/q?s=LYB
LYV,1,0.01,https://finance.yahoo.com/quote/LYV
MA,1,0.01,http://finance.yahoo.com/q?s=MA
MAA,1,0.01,https://finance.yahoo.com/quote/MAA/?p=MAA
MAR,1,0.01,http://finance.yahoo.com/q?s=MAR
MAS,1,0.01,http://finance.yahoo.com/q?s=MAS
MCD,1,0.01,http://finance.yahoo.com/q?s=mcd
MCHP,1,0.01,http://finance.yahoo.com/q?s=mchp
MCK,1,0.01,http://finance.yahoo.com/q?s=MCK
MCO,1,0.01,http://finance.yahoo.com/q?s=MCO
MDLZ,1,0.01,http://finance.yahoo.com/q?s=MDLZ
MDT,1,0.01,http://finance.yahoo.com/q?s=MDT
MET,1,0.01,http://finance.yahoo.com/q?s=MET
MGM,1,0.01,https://finance.yahoo.com/quote/MGM/
MHK,1,0.01,http://finance.yahoo.com/q?s=MHK
MKC,1,0.01,http://finance.yahoo.com/q?s=MKC
MKTX,1,0.01,https://finance.yahoo.com/quote/MKTX
MLM,1,0.01,http://finance.yahoo.com/q?s=MLM
MMC,1,0.01,http://finance.yahoo.com/q?s=MMC
MMM,1,0.01,http://finance.yahoo.com/q?s=mmm
MNST,1,0.01,http://finance.yahoo.com/q?s=MNST
MO,1,0.01,http://finance.yahoo.com/q?s=MO
MOS,1,0.01,http://finance.yahoo.com/q?s=MOS
MPC,1,0.01,http://finance.yahoo.com/q?s=MPC
MPWR,1,0.01,https://finance.yahoo.com/quote/MPWR
MRK,1,0.01,http://finance.yahoo.com/q?s=mrk
MRO,1,0.01,http://finance.yahoo.com/q?s=MRO
MS,1,0.01,http://finance.yahoo.com/q?s=MS
MSCI,1,0.01,http://finance.yahoo.com/q?s=MSCI
MSFT,1,0.01,http://finance.yahoo.com/q?s=msft
MSI,1,0.01,http://finance.yahoo.com/q?s=MSI
MTB,1,0.01,http://finance.yahoo.com/q?s=MTB
MTD,1,0.01,https://finance.yahoo.com/quote/MTD/?p=MTD
MU,1,0.01,http://finance.yahoo.com/q?s=MU
MXIM,1,0.01,http://finance.yahoo.com/q?s=MXIM
NCLH,1,0.01,http://finance.yahoo.com/q?s=nclh
NDAQ,1,0.01,http://finance.yahoo.com/q?s=NDAQ
NEE,1,0.01,http://finance.yahoo.com/q?s=NEE
NEM,1,0.01,http://finance.yahoo.com/q?s=NEM
NFLX,1,0.01,http://finance.yahoo.com/q?s=NFLX
NI,1,0.01,http://finance.yahoo.com/q?s=NI
NKE,1,0.01,http://finance.yahoo.com/q?s=NKE
NLOK,1,0.01,https://finance.yahoo.com/quote/NLOK
NLSN,1,0.01,http://finance.yahoo.com/q?s=NLSN
NOC,1,0.01,http://finance.yahoo.com/q?s=NOC
NOV,1,0.01,http://finance.yahoo.com/q?s=NOV
NOW,1,0.01,https://finance.yahoo.com/quote/NOW
NRG,1,0.01,http://finance.yahoo.com/q?s=NRG
NSC,1,0.01,http://finance.yahoo.com/q?s=NSC
NTAP,1,0.01,http://finance.yahoo.com/q?s=ntap
NTRS,1,0.01,http://finance.yahoo.com/q?s=NTRS
NUE,1,0.01,http://finance.yahoo.com/q?s=NUE
NVDA,1,0.01,http://finance.yahoo.com/q?s=nvda
NVR,1,0.01,https://finance.yahoo.com/quote/NVR
NWL,1,0.01,http://finance.yahoo.com/q?s=NWL
NWS,1,0.01,http://finance.yahoo.com/q?s=NWS
NWSA,1,0.01,http://finance.yahoo.com/q?s=NWSA
NXPI,1,0.01,http://finance.yahoo.com/q?s=NXPI
O,1,0.01,http://finance.yahoo.com/q?s=O
ODFL,1,0.01,https://finance.yahoo.com/quote/ODFL
OKE,1,0.01,http://finance.yahoo.com/q?s=OKE
OMC,1,0.01,http://finance.yahoo.com/q?s=OMC
ORCL,1,0.01,http://finance.yahoo.com/q?s=orcl
ORLY,1,0.01,http://finance.yahoo.com/q?s=ORLY
OTIS,1,0.01,https://finance.yahoo.com/quote/OTIS
OXY,1,0.01,http://finance.yahoo.com/q?s=OXY
PAYC,1,0.01,https://finance.yahoo.com/quote/PAYC
PAYX,1,0.01,http://finance.yahoo.com/q?s=payx
PBCT,1,0.01,http://finance.yahoo.com/q?s=PBCT
PCAR,1,0.01,http://finance.yahoo.com/q?s=pcar
PEAK,1,0.01,https://finance.yahoo.com/quote/PEAK
PEG,1,0.01,http://finance.yahoo.com/q?s=PEG
PENN,1,0.01,https://finance.yahoo.com/quote/PENN
PEP,1,0.01,http://finance.yahoo.com/q?s=PEP
PFE,1,0.01,http://finance.yahoo.com/q?s=pfe
PFG,1,0.01,http://finance.yahoo.com/q?s=PFG
PG,1,0.01,http://finance.yahoo.com/q?s=pg
PGR,1,0.01,http://finance.yahoo.com/q?s=PGR
PH,1,0.01,http://finance.yahoo.com/q?s=PH
PHM,1,0.01,http://finance.yahoo.com/q?s=PHM
PKG,1,0.01,https://finance.yahoo.com/quote/PKG/
PKI,1,0.01,http://finance.yahoo.com/q?s=PKI
PLD,1,0.01,http://finance.yahoo.com/q?s=PLD
PM,1,0.01,http://finance.yahoo.com/q?s=PM
PNC,1,0.01,http://finance.yahoo.com/q?s=PNC
PNR,1,0.01,http://finance.yahoo.com/q?s=PNR
PNW,1,0.01,http://finance.yahoo.com/q?s=PNW
POOL,1,0.01,https://finance.yahoo.com/quote/POOL
PPG,1,0.01,http://finance.yahoo.com/q?s=PPG
PPL,1,0.01,http://finance.yahoo.com/q?s=PPL
PRGO,1,0.01,http://finance.yahoo.com/q?s=PRGO
PRU,1,0.01,http://finance.yahoo.com/q?s=PRU
PSA,1,0.01,http://finance.yahoo.com/q?s=PSA
PSX,1,0.01,http://finance.yahoo.com/q?s=PSX
PTC,1,0.01,https://finance.yahoo.com/quote/PTC
PVH,1,0.01,http://finance.yahoo.com/q?s=PVH
PWR,1,0.01,http://finance.yahoo.com/q?s=PWR
PXD,1,0.01,http://finance.yahoo.com/q?s=PXD
PYPL,1,0.01,http://finance.yahoo.com/q?s=pypl
QCOM,1,0.01,http://finance.yahoo.com/q?s=qcom
QRVO,1,0.01,http://finance.yahoo.com/q?s=QRVO
RCL,1,0.01,http://finance.yahoo.com/q?s=RCL
RE,1,0.01,https://finance.yahoo.com/quote/RE/
REG,1,0.01,https://finance.yahoo.com/quote/REG/?p=REG
REGN,1,0.01,http://finance.yahoo.com/q?s=REGN
RF,1,0.01,http://finance.yahoo.com/q?s=RF
RHI,1,0.01,http://finance.yahoo.com/q?s=RHI
RJF,1,0.01,https://finance.yahoo.com/quote/RJF/
RL,1,0.01,http://finance.yahoo.com/q?s=RL
RMD,1,0.01,http://finance.yahoo.com/q?s=RMD
ROK,1,0.01,http://finance.yahoo.com/q?s=ROK
ROL,1,0.01,https://finance.yahoo.com/quote/ROL/
ROP,1,0.01,http://finance.yahoo.com/q?s=ROP
ROST,1,0.01,http://finance.yahoo.com/q?s=ROST
RSG,1,0.01,http://finance.yahoo.com/q?s=RSG
RTX,1,0.01,https://finance.yahoo.com/quote/RTX
SBAC,1,0.01,http://finance.yahoo.com/q?s=SBAC
SBUX,1,0.01,http://finance.yahoo.com/q?s=sbux
SCHW,1,0.01,http://finance.yahoo.com/q?s=SCHW
SEE,1,0.01,http://finance.yahoo.com/q?s=SEE
SHW,1,0.01,http://finance.yahoo.com/q?s=SHW
SIVB,1,0.01,http://finance.yahoo.com/q?s=SIVB
SJM,1,0.01,http://finance.yahoo.com/q?s=SJM
SLB,1,0.01,http://finance.yahoo.com/q?s=SLB
SNA,1,0.01,http://finance.yahoo.com/q?s=SNA
SNPS,1,0.01,https://finance.yahoo.com/quote/SNPS/?p=SNPS
SO,1,0.01,http://finance.yahoo.com/q?s=SO
SPG,1,0.01,http://finance.yahoo.com/q?s=SPG
SPGI,1,0.01,https://finance.yahoo.com/quote/SPGI/?p=SPGI
SRE,1,0.01,http://finance.yahoo.com/q?s=SRE
STE,1,0.01,https://finance.yahoo.com/quote/STE
STT,1,0.01,http://finance.yahoo.com/q?s=STT
STX,1,0.01,http://finance.yahoo.com/q?s=STX
STZ,1,0.01,http://finance.yahoo.com/q?s=STZ
SWK,1,0.01,http://finance.yahoo.com/q?s=SWK
SWKS,1,0.01,http://finance.yahoo.com/q?s=swks
SYF,1,0.01,http://finance.yahoo.com/q?s=SYF
SYK,1,0.01,http://finance.yahoo.com/q?s=SYK
SYY,1,0.01,http://finance.yahoo.com/q?s=SYY
T,1,0.01,http://finance.yahoo.com/q?s=t
TAP,1,0.01,http://finance.yahoo.com/q?s=TAP
TDG,1,0.01,https://finance.yahoo.com/quote/TDG/
TDY,1,0.01,https://finance.yahoo.com/quote/TDY
TEL,1,0.01,http://finance.yahoo.com/q?s=TEL
TER,1,0.01,http://finance.yahoo.com/q?s=TER
TFC,1,0.01,https://finance.yahoo.com/quote/TFC
TFX,1,0.01,http://finance.yahoo.com/q?s=TFX
TGT,1,0.01,http://finance.yahoo.com/q?s=TGT
TJX,1,0.01,http://finance.yahoo.com/q?s=TJX
TMO,1,0.01,http://finance.yahoo.com/q?s=TMO
TMUS,1,0.01,http://finance.yahoo.com/q?s=tmus
TPR,1,0.01,https://finance.yahoo.com/quote/TPR/
TRMB,1,0.01,https://finance.yahoo.com/quote/TRMB
TROW,1,0.01,http://finance.yahoo.com/q?s=TROW
TRV,1,0.01,http://finance.yahoo.com/q?s=TRV
TSCO,1,0.01,http://finance.yahoo.com/q?s=TSCO
TSLA,1,0.01,http://finance.yahoo.com/q?s=TSLA
TSN,1,0.01,http://finance.yahoo.com/q?s=TSN
TT,1,0.01,https://finance.yahoo.com/quote/TT
TTWO,1,0.01,http://finance.yahoo.com/q?s=TTWO
TWTR,1,0.01,http://finance.yahoo.com/q?s=TWTR
TXN,1,0.01,http://finance.yahoo.com/q?s=TXN
TXT,1,0.01,http://finance.yahoo.com/q?s=TXT
TYL,1,0.01,https://finance.yahoo.com/quote/TYL
UA,1,0.01,http://finance.yahoo.com/q?s=UA
UAA,1,0.01,https://finance.yahoo.com/quote/UAA/
UAL,1,0.01,http://finance.yahoo.com/q?s=UAL
UDR,1,0.01,http://finance.yahoo.com/q?s=UDR
UHS,1,0.01,http://finance.yahoo.com/q?s=UHS
ULTA,1,0.01,http://finance.yahoo.com/q?s=ulta
UNH,1,0.01,http://finance.yahoo.com/q?s=UNH
UNM,1,0.01,http://finance.yahoo.com/q?s=UNM
UNP,1,0.01,http://finance.yahoo.com/q?s=UNP
UPS,1,0.01,http://finance.yahoo.com/q?s=UPS
URI,1,0.01,http://finance.yahoo.com/q?s=URI
USB,1,0.01,http://finance.yahoo.com/q?s=USB
V,1,0.01,http://finance.yahoo.com/q?s=V
VFC,1,0.01,http://finance.yahoo.com/q?s=VFC
VIAC,1,0.01,https://finance.yahoo.com/quote/VIAC
VLO,1,0.01,http://finance.yahoo.com/q?s=VLO
VMC,1,0.01,http://finance.yahoo.com/q?s=VMC
VNO,1,0.01,http://finance.yahoo.com/q?s=VNO
VRSK,1,0.01,http://finance.yahoo.com/q?s=VRSK
VRSN,1,0.01,http://finance.yahoo.com/q?s=vrsn
VRTX,1,0.01,http://finance.yahoo.com/q?s=VRTX
VTR,1,0.01,http://finance.yahoo.com/q?s=VTR
VTRS,1,0.01,https://finance.yahoo.com/quote/VRTS
VZ,1,0.01,http://finance.yahoo.com/q?s=vz
WAB,1,0.01,http://finance.yahoo.com/q?s=WAB
WAT,1,0.01,http://finance.yahoo.com/q?s=WAT
WBA,1,0.01,http://finance.yahoo.com/q?s=wba
WDC,1,0.01,http://finance.yahoo.com/q?s=WDC
WEC,1,0.01,http://finance.yahoo.com/q?s=WEC
WELL,1,0.01,http://finance.yahoo.com/q?s=WELL
WFC,1,0.01,http://finance.yahoo.com/q?s=WFC
WHR,1,0.01,http://finance.yahoo.com/q?s=WHR
WLTW,1,0.01,http://finance.yahoo.com/q?s=WLTW
WM,1,0.01,http://finance.yahoo.com/q?s=WM
WMB,1,0.01,http://finance.yahoo.com/q?s=WMB
WMT,1,0.01,http://finance.yahoo.com/q?s=wmt
WRB,1,0.01,https://finance.yahoo.com/quote/WRB
WRK,1,0.01,http://finance.yahoo.com/q?s=WRK
WST,1,0.01,https://finance.yahoo.com/quote/WST
WU,1,0.01,http://finance.yahoo.com/q?s=WU
WY,1,0.01,http://finance.yahoo.com/q?s=WY
WYNN,1,0.01,http://finance.yahoo.com/q?s=wynn
XEL,1,0.01,http://finance.yahoo.com/q?s=XEL
XLNX,1,0.01,http://finance.yahoo.com/q?s=xlnx
XOM,1,0.01,http://finance.yahoo.com/q?s=xom
XRAY,1,0.01,http://finance.yahoo.com/q?s=xray
XYL,1,0.01,http://finance.yahoo.com/q?s=XYL
YUM,1,0.01,http://finance.yahoo.com/q?s=YUM
ZBH,1,0.01,http://finance.yahoo.com/q?s=ZBH
ZBRA,1,0.01,https://finance.yahoo.com/quote/ZBRA
ZION,1,0.01,http://finance.yahoo.com/q?s=ZION
ZTS,1,0.01,http://finance.yahoo.com/q?s=ZTS
1COV,1,0.01,https://de.finance.yahoo.com/quote/1cov.de
ADDS,1,0.01,http://finance.yahoo.com/q?s=ADDS
AIR,1,0.01,https://finance.yahoo.com/quote/AIR.DE
ALV,1,0.01,http://finance.yahoo.com/q?s=ALV
BAS,1,0.01,http://finance.yahoo.com/q?s=BAS
BAYN,1,0.01,http://finance.yahoo.com/q?s=BAYN
BMW,1,0.01,http://finance.yahoo.com/q?s=BMW
BNR,1,0.01,https://finance.yahoo.com/quote/BNR.DE
CONT,1,0.01,http://finance.yahoo.com/q?s=CONT
DAI,1,0.01,http://finance.yahoo.com/q?s=DAI
DB,1,0.01,http://finance.yahoo.com/q?s=DB
DBK,1,0.01,http://finance.yahoo.com/q?s=DBK
DHER,1,0.01,https://de.finance.yahoo.com/quote/dher.de
DPW,1,0.01,http://finance.yahoo.com/q?s=DPW.DE
DTEL,1,0.01,http://finance.yahoo.com/q?s=DTEL
DWNI,1,0.01,https://de.finance.yahoo.com/quote/dwni.de
ENR,1,0.01,https://de.finance.yahoo.com/quote/ENR.DE
EOAN,1,0.01,http://finance.yahoo.com/q?s=EOAN
FME,1,0.01,http://finance.yahoo.com/q?s=FME
FRE,1,0.01,http://finance.yahoo.com/q?s=FRE
HEI,1,0.01,http://finance.yahoo.com/q?s=HEI
HEN,1,0.01,http://finance.yahoo.com/q?s=HEN
HFG,1,0.01,https://finance.yahoo.com/quote/HFG.DE
IFX,1,0.01,http://finance.yahoo.com/q?s=IFX
LIN,1,0.01,http://finance.yahoo.com/q?s=LIN
MRCK,1,0.01,http://finance.yahoo.com/q?s=MRCK
MTX,1,0.01,https://de.finance.yahoo.com/quote/MTX.DE
MUV,1,0.01,http://finance.yahoo.com/q?s=MUV
PAH,1,0.01,https://finance.yahoo.com/quote/PAH3.DE
PUM,1,0.01,https://finance.yahoo.com/quote/PUM.DE
QIA,1,0.01,https://finance.yahoo.com/quote/QIA.DE
RWE,1,0.01,http://finance.yahoo.com/q?s=RWE
SAP,1,0.01,http://finance.yahoo.com/q?s=SAP
SHL,1,0.01,https://finance.yahoo.com/quote/SHL.DE
SIE,1,0.01,http://finance.yahoo.com/q?s=SIE
SRT,1,0.01,https://finance.yahoo.com/quote/SRT.DE
SY,1,0.01,https://finance.yahoo.com/quote/SY1.DE
VNA,1,0.01,http://finance.yahoo.com/q?s=VNA
VOW,1,0.01,http://finance.yahoo.com/q?s=VOW
ZAL,1,0.01,https://finance.yahoo.com/quote/ZAL.DE/
BCHEUR,1,0.01,https://pro.coinbase.com/trade/BCH-EUR
BCHUSD,1,0.01,https://pro.coinbase.com/trade/BCH-USD
BTCEUR,1,0.01,https://pro.coinbase.com/trade/BTC-EUR
BTCGBP,1,0.01,https://pro.coinbase.com/trade/BTC-GBP
BTCUSD,1,0.01,https://pro.coinbase.com/trade/BTC-USD
ETHEUR,1,0.01,https://pro.coinbase.com/trade/ETH-EUR
ETHUSD,1,0.01,https://pro.coinbase.com/trade/ETH-USD
LTCEUR,1,0.01,https://pro.coinbase.com/trade/LTC-EUR
LTCUSD,1,0.01,https://pro.coinbase.com/trade/LTC-USD
10YR,1000,0.001,https://www.cmegroup.com/trading/interest-rates/micro-treasury-yield-futures.html?redirect=/yieldfutures#contract-specifications
2YR,1000,0.001,https://www.cmegroup.com/trading/interest-rates/micro-treasury-yield-futures.html?redirect=/yieldfutures#contract-specifications
30YR,1000,0.001,https://www.cmegroup.com/trading/interest-rates/micro-treasury-yield-futures.html?redirect=/yieldfutures#contract-specifications
5YR,1000,0.001,https://www.cmegroup.com/trading/interest-rates/micro-treasury-yield-futures.html?redirect=/yieldfutures#contract-specifications
FDXS,1,1,https://www.eurex.com/ex-en/markets/idx/dax
FSXE,1,0.5,https://www.eurex.com/ex-en/markets/idx/micro-product-suite
M2K,5,0.1,https://www.cmegroup.com/cme-group-futures-exchange/micro-futures.html
M6A,10000,0.0001,http://www.cmegroup.com/trading/fx/fx/e-micro-australian-dollar_contract_specifications.html
M6B,6250,0.0001,http://www.cmegroup.com/trading/fx/fx/e-micro-british-pound_contract_specifications.html
M6E,12500,0.0001,http://www.cmegroup.com/trading/fx/fx/e-micro-euro_contract_specifications.html
MBT,0.1,5,https://www.cmegroup.com/trading/micro-bitcoin-futures.html
MCL,100,0.01,https://www.cmegroup.com/trading/energy/micro-wti-crude-oil-futures.html
MES,5,0.25,https://www.cmegroup.com/cme-group-futures-exchange/micro-futures.html
MET,0.1,0.5,https://www.cmegroup.com/markets/cryptocurrencies/ether/micro-ether.html
MGC,10,0.1,http://www.cmegroup.com/trading/metals/precious/e-micro-gold_contract_specifications.html
MHG,2500,0.0005,https://www.cmegroup.com/markets/metals/base/micro-copper.contractSpecs.html
MICD,10000,0.0001,http://www.cmegroup.com/trading/fx/e-micros/e-micro-canadian-dollar-us-dollar_contract_specifications.html
MISF,12500,0.0001,http://www.cmegroup.com/trading/fx/e-micros/e-micro-swiss-franc-us-dollar_contract_specifications.html
MMC,10,0.1,https://www.cmegroup.com/media-room/press-releases/2023/2/21/cme_group_to_launchmicroe-minispmidcap400andmicroe-minispsmallca.html
MNQ,2,0.25,https://www.cmegroup.com/cme-group-futures-exchange/micro-futures.html
MSC,10,0.1,https://www.cmegroup.com/media-room/press-releases/2023/2/21/cme_group_to_launchmicroe-minispmidcap400andmicroe-minispsmallca.html
MYM,0.5,1,https://www.cmegroup.com/cme-group-futures-exchange/micro-futures.html
