Name,PointValue,TickSize,Url
CPRT,1,0.01,http://finance.yahoo.com/q?s=CPRT
CSCO,1,0.01,http://finance.yahoo.com/q?s=csco
CSX,1,0.01,http://finance.yahoo.com/q?s=CSX
CTAS,1,0.01,http://finance.yahoo.com/q?s=ctas
CTSH,1,0.01,http://finance.yahoo.com/q?s=ctsh
CTXS,1,0.01,http://finance.yahoo.com/q?s=ctxs
DLTR,1,0.01,http://finance.yahoo.com/q?s=DLTR
DOCU,1,0.01,https://finance.yahoo.com/quote/DOCU/
DXCM,1,0.01,https://finance.yahoo.com/quote/DXCM/
EA,1,0.01,http://finance.yahoo.com/q?s=es
EBAY,1,0.01,http://finance.yahoo.com/q?s=ebay
EXC,1,0.01,http://finance.yahoo.com/q?s=EXC
FAST,1,0.01,http://finance.yahoo.com/q?s=fast
FB,1,0.01,http://finance.yahoo.com/q?s=FB
FISV,1,0.01,http://finance.yahoo.com/q?s=fisv
FOX,1,0.01,http://finance.yahoo.com/q?s=FOX
FOXA,1,0.01,http://finance.yahoo.com/q?s=FOXA
GILD,1,0.01,http://finance.yahoo.com/q?s=gild
GOOG,1,0.01,http://finance.yahoo.com/q?s=goog
GOOGL,1,0.01,http://finance.yahoo.com/q?s=GOOGL
IDXX,1,0.01,https://finance.yahoo.com/quote/IDXX/?p=IDXX
ILMN,1,0.01,http://finance.yahoo.com/q?s=ILMN
INCY,1,0.01,http://finance.yahoo.com/q?s=INCY
INTC,1,0.01,http://finance.yahoo.com/q?s=intc
INTU,1,0.01,http://finance.yahoo.com/q?s=intu
ISRG,1,0.01,http://finance.yahoo.com/q?s=isrg
JD,1,0.01,http://finance.yahoo.com/q?s=JD
KDP,1,0.01,https://finance.yahoo.com/quote/KDP/
KHC,1,0.01,http://finance.yahoo.com/q?s=KHC
KLAC,1,0.01,http://finance.yahoo.com/q?s=klac
LRCX,1,0.01,http://finance.yahoo.com/q?s=lrcx
LULU,1,0.01,https://finance.yahoo.com/quote/LULU/
MAR,1,0.01,http://finance.yahoo.com/q?s=MAR
MCHP,1,0.01,http://finance.yahoo.com/q?s=mchp
MDLZ,1,0.01,http://finance.yahoo.com/q?s=MDLZ
MELI,1,0.01,https://finance.yahoo.com/quote/MELI?p=MELI
MNST,1,0.01,http://finance.yahoo.com/q?s=MNST
MRNA,1,0.01,https://finance.yahoo.com/quote/MRNA/
MRVL,1,0.01,http://finance.yahoo.com/q?s=mrvl
MSFT,1,0.01,http://finance.yahoo.com/q?s=msft
MTCH,1,0.01,https://finance.yahoo.com/quote/MTCH/
MU,1,0.01,http://finance.yahoo.com/q?s=MU
MXIM,1,0.01,http://finance.yahoo.com/q?s=MXIM
NFLX,1,0.01,http://finance.yahoo.com/q?s=NFLX
NTAP,1,0.01,http://finance.yahoo.com/q?s=ntap
NTES,1,0.01,http://finance.yahoo.com/q?s=ntes
NVDA,1,0.01,http://finance.yahoo.com/q?s=nvda
NXPI,1,0.01,http://finance.yahoo.com/q?s=NXPI
OKTA,1,0.01,https://finance.yahoo.com/quote/OKTA/
ORLY,1,0.01,http://finance.yahoo.com/q?s=ORLY
PAYX,1,0.01,http://finance.yahoo.com/q?s=payx
PCAR,1,0.01,http://finance.yahoo.com/q?s=pcar
PDD,1,0.01,https://finance.yahoo.com/quote/PDD/
PEP,1,0.01,http://finance.yahoo.com/q?s=PEP
PTON,1,0.01,https://finance.yahoo.com/quote/PTON/
PYPL,1,0.01,http://finance.yahoo.com/q?s=pypl
QCOM,1,0.01,http://finance.yahoo.com/q?s=qcom
REGN,1,0.01,http://finance.yahoo.com/q?s=REGN
ROST,1,0.01,http://finance.yahoo.com/q?s=ROST
SBUX,1,0.01,http://finance.yahoo.com/q?s=sbux
SGEN,1,0.01,https://finance.yahoo.com/quote/sgen
SIRI,1,0.01,http://finance.yahoo.com/q?s=SIRI
SNPS,1,0.01,https://finance.yahoo.com/quote/SNPS/?p=SNPS
SPLK,1,0.01,https://finance.yahoo.com/quote/splk
SWKS,1,0.01,http://finance.yahoo.com/q?s=swks
TCOM,1,0.01,https://finance.yahoo.com/quote/tcom
TEAM,1,0.01,https://finance.yahoo.com/quote/TEAM/
TMUS,1,0.01,http://finance.yahoo.com/q?s=tmus
TSLA,1,0.01,http://finance.yahoo.com/q?s=TSLA
TXN,1,0.01,http://finance.yahoo.com/q?s=TXN
VRSK,1,0.01,http://finance.yahoo.com/q?s=VRSK
VRSN,1,0.01,http://finance.yahoo.com/q?s=vrsn
VRTX,1,0.01,http://finance.yahoo.com/q?s=VRTX
WBA,1,0.01,http://finance.yahoo.com/q?s=wba
WDAY,1,0.01,http://finance.yahoo.com/q?s=WDAY
XEL,1,0.01,http://finance.yahoo.com/q?s=XEL
XLNX,1,0.01,http://finance.yahoo.com/q?s=xlnx
ZM,1,0.01,https://finance.yahoo.com/quote/ZM/
A,1,0.01,http://finance.yahoo.com/q?s=A
AAL,1,0.01,http://finance.yahoo.com/q?s=aal
AAP,1,0.01,http://finance.yahoo.com/q?s=AAP
AAPL,1,0.01,http://finance.yahoo.com/q?s=aapl
ABBV,1,0.01,http://finance.yahoo.com/q?s=ABBV
ABC,1,0.01,http://finance.yahoo.com/q?s=ABC
ABMD,1,0.01,http://finance.yahoo.com/q?s=ABMD
ABT,1,0.01,http://finance.yahoo.com/q?s=ABT
ACN,1,0.01,http://finance.yahoo.com/q?s=ACN
ADBE,1,0.01,http://finance.yahoo.com/q?s=adbe
ADI,1,0.01,http://finance.yahoo.com/q?s=ADI
ADM,1,0.01,http://finance.yahoo.com/q?s=ADM
ADP,1,0.01,http://finance.yahoo.com/q?s=ADP
ADSK,1,0.01,http://finance.yahoo.com/q?s=adsk
AEE,1,0.01,http://finance.yahoo.com/q?s=AEE
AEP,1,0.01,http://finance.yahoo.com/q?s=AEP
AES,1,0.01,http://finance.yahoo.com/q?s=AES
AFL,1,0.01,http://finance.yahoo.com/q?s=AFL
AIG,1,0.01,http://finance.yahoo.com/q?s=aig
AIZ,1,0.01,http://finance.yahoo.com/q?s=AIZ
AJG,1,0.01,https://finance.yahoo.com/quote/AJG/?p=AJG
